Description,Summary,Cause of Issue,Request Category,Comments,input_text,Topic,Topic_Probability,Matched_Subtopic
Could you please add some recipe cards and nutritional information to my order I have a Life Skills class that I teach and your information would be a great resource partner Support Monday May 6 2024 915 AM murielbfrancishotmailcom Capital Area Food Bank Order SO158917 Capital Area Food Bank aS 2026449800 4900 Puerto Rico Ave NE Washington DC 20017,Customer wants recipe cards and nutritional information added to their order.,Request of Customer Relations,Orders - Pre delivery -> General Questions,052024 02f58131cbb67d43c7b30d6b58d40bd077Hi systemsentvianetsuitecom We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 02b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support For recipe cards and other nutrition education resources please contact Charity,Orders - Pre delivery -> General Questions | Customer wants recipe cards and nutritional information added to their order.,-1,0.0,Recipe cards and nutritional information
Is it to late to cancel the order for this Friday SO157930 I attempted to cancel it and it still is posted The delivery is set for Friday 3rd Please let me know as soon as possible Thanks in advance Kim CP Community Food Bank,Customer wants to cancel an order that was scheduled for delivery on Friday.,Partner Error,Orders - Pre delivery -> Cancelation,052024 02f58131cbb67d43c7b30d6b58d40bd077Hi mrskimberleymrollinsyahoocom Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation are Monday through Friday 8 am to 5 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 052024 12b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support SO157930 has been cancelled Charity,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order that was scheduled for delivery on Friday.,0,1.0,cancel order
Hello Partner Support My name is Karina Valenzuela Emergency Services Coordinator at LARS Would it be possible to sign up Jazmin Haley Lead Case Manager for the next CAFB training on 516 Jazmin Haley jhaleylaureladvocacyorg I appreciate your help Thanks,Customer wants to sign up someone for a training.,Partner Knowledge/Training,PartnerLink -> New Shopper,052024 0765d20c5a0c84458e8ce1adb90d07460fc61c8b1622074bb8ad8dfe376fcdd924 | 052024 07f58131cbb67d43c7b30d6b58d40bd077Hi KValenzuelalaureladvocacyorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation are Monday through Friday 8 am to 5 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 052024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support Jazmin Haley is more than welcome to attend our next SMART Shopper Training on May 16th Please note that a letter of authorization is required for all new shoppers and should be sent over via email on your agencyaTMs letterhead signed by the Executive Director or Pastor of your organization The SMART Shopping Training on 516 will be held on Zoom from 1011am Please join using the following link A 844 5557 8157 088900 Charity,PartnerLink -> New Shopper | Customer wants to sign up someone for a training.,1,1.0,Partner Trainings
h3 h3 h3 Hi h3 I saw the post in the newletter and on the site When can we place an order for 67 deliveries The next day is a scheduled distribution day for us Seeking to reserve a delivery slot for 67 RE h3 h3 VA PARTNERLINK AGENCY NEWS h3 JUNE 7TH CAFB IS CLOSING EARLY On June 7th the Capital Area Food Bank will be closing early Only the 8am10am delivery and 8am 9am and 10am pickup slots will be available This will also affect the pullers schedule on Monday June 10th resulting in limited delivery and pickup windows Plan your orders accordingly and feel free to contact us at if you have any questions Thank you JeffSterling UMC,"Customer wants to reserve a delivery slot for 67 deliveries on the next day, due to the Capital Area Food Bank closing early.",Other,Delivery / Pickup -> General Questions,052024 07f58131cbb67d43c7b30d6b58d40bd077Hi gracesumcgmailcom Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation are Monday through Friday 8 am to 5 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 052024 12b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support You are able to schedule orders up to 10 business days in advance If you would like to schedule an order for June 7th the earliest you would be able to see that date available would be To be certain I would check on the 23rd as well Charity,"Delivery / Pickup -> General Questions | Customer wants to reserve a delivery slot for 67 deliveries on the next day, due to the Capital Area Food Bank closing early.",8,1.0,delivery scheduling
Hi Order SO182780 went out for delivery yesterday 1112 The partner did not receive the order today but he received an email yesterday saying the delivery was attempted yesterday If this order not yet placed back in inventory can we please set a new closer delivery date for it Thank you Zaynab,Customer wants to reschedule the delivery date for order SO182780.,Request of Customer Relations,Orders - Pre delivery -> Report Issue,112024 1145 PM,Orders - Pre delivery -> Report Issue | Customer wants to reschedule the delivery date for order SO182780.,21,1.0,reschedule delivery
Please add the following to order SO164481 20 ea 300577 Tomato Paste 20ea 300010 Peanut Butter 10ea 300342 Chicken Pouch 20ea 930492 Grab and Go Box Any Questions call Jim Reed at 3014668263 Thanks,Customer wants to add items to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,062024 09f58131cbb67d43c7b30d6b58d40bd077Hi saraa11verizonnet Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 062024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I have made your requested changes to your order Charity,Orders - Pre delivery -> Edit Order Items | Customer wants to add items to their order.,10,0.901914608045828,Add items to order
Hello Re order h2 We would like to change our time to a morning pickup is that possible Stephania Burks partnersupportcapitalareafoodbankorg Thursday June 6 2024 1144 PM Stephania Burks Capital Area Food Bank Order SO164300 Capital Area Food Bank aS 2026449845 4900 Puerto Rico Ave NE Washington DC 20017,Customer wants to change the pickup time for their order.,Request of Customer Relations,Orders - Pre delivery ->  Date/Time Change - New window,062024 12f58131cbb67d43c7b30d6b58d40bd077Hi thfs4814templehillsfreshstartorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 062024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting Customer Support We are able to move your order to 9am or 10am the morning of the 13th Do you have a preference Charity | 062024 12f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CH | 062024 02f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CH | 062024 04f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CH | 062024 08f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CH | 062024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support We have moved your pickup appointment to 910am on 613 Charity,Orders - Pre delivery ->  Date/Time Change - New window | Customer wants to change the pickup time for their order.,9,1.0,Reschedule delivery date
Hello We are trying to schedule a delivery for Friday May 17 2024 Appts are not showing up on calendar Please advise Sincerely E Light,Customer wants to schedule a delivery for Friday May 17 2024 and the appointment is not showing up on the calendar.,Request of Customer Relations,Orders - Pre delivery -> General Questions,052024 12f58131cbb67d43c7b30d6b58d40bd077Hi infochrismacharitiesorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 052024 01b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support There are unfortunately no more delivery slots available for Friday May 15th We apologize for the inconvenience Charity | 052024 0965d20c5a0c84458e8ce1adb90d07460f6c7592227f364cb298b864690b47c6dcHi How early do we have to schedule deliveries We have one delivery every 3rd Saturday of the month If we are unable to place the order please cancel the delivery for the produce boxes that are scheduled to be delivered Sat morn We will not need them if we cant have our distribution Sincerely Eileen Light | 052024 09f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved | 052024 01b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Eileen Appointments on the calendar are available to view as early as 10 business days prior to your desired date I have escalated your request to my supervisor and we are waiting to hear back from our Transportation team to see what we can do to accommodate your delivery appointment on the 17th Charity | 052024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Eileen Just following up with details from our call earlier Please go ahead and put an order in on PartnerLink choosing any available date and time in the system Once completed please send over the Sales Order number and we will internally update the order to be delivered on Friday May 17th Thank you for your patience and understanding Charity | 052024 1065d20c5a0c84458e8ce1adb90d07460f Here is the order no SO160276 Much thanks Eileen | 052024 10f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved | 052024 12b15fa988bc6049b4aa6fe30b7a3629c1Hi Eileen Thank you for sending over the Sales Order Number Can you please confirm which time frame you would prefer for your delivery Charity | 052024 1265d20c5a0c84458e8ce1adb90d07460f6c7592227f364cb298b864690b47c6dc810 | 052024 12f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved | 052024 0365d20c5a0c84458e8ce1adb90d07460f Our order for this Friday is still showing up in the System for Monday delivery The Order is SO160276 Please advise Sincerely Eileen | 052024 03f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> General Questions | Customer wants to schedule a delivery for Friday May 17 2024 and the appointment is not showing up on the calendar.,-1,0.0,Schedule delivery
h2 SO160218 3 additional boxes of turkey and more produce Thanks Michelle Limes 2024983299,Customer requests additional items to be added to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,052024 08f58131cbb67d43c7b30d6b58d40bd077Hi Michelle Limes Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation are Monday through Friday 8 am to 5 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 052024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support I have made the requested edits to your order As of right now there is no additional produce I can add to your order and will keep your ticket on hold to add more produce in the instance that we get more added to our inventory Charity | 052024 1065d20c5a0c84458e8ce1adb90d07460f65bdc89d3ac4425b855dc419ebb1dfcbGreat thank you so much | 052024 11b15fa988bc6049b4aa6fe30b7a3629c1Closing out ticket partner deleted potatoes and moved order to pickup Charity,Orders - Pre delivery -> Edit Order Items | Customer requests additional items to be added to their order.,-1,0.0,Add items to order
Could 10 pallets be picked up at our location which is Church of the Redeemer 19425 Woodfield Rd Gaithersburg MD 20879 Please advise day and time Rand for pick up Thank you,Customer requests pickup of 10 pallets at a specific location.,Other,Delivery / Pickup -> Pallet Pickup,072024 02f58131cbb67d43c7b30d6b58d40bd077Hi Steve Lane We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 072024 0538c8249284fe40dc890161d65a68f6d3Good afternoon and thank you for contacting customer support I have forwarded your request to our transportation team I will follow up with you as soon as I get a response CiArra | 072024 0538c8249284fe40dc890161d65a68f6d3Please Disregard last message I am still waiting on a response from the transportation team CiArra | 072024 0938c8249284fe40dc890161d65a68f6d3Good morning and thank you for your patience The transportation manager has relayed this information to me Unfortunately I was out of the office when they reached out to me aWe went to pick up the pallets today at Church of The Redemer today The pallets are laid on their side on the side and back of the trash can Can we please instruct this customer that the pallets should be stacked atop one another on a flat surface so that the driver can pick them up with his pallet jacka Please advise when this is done so that I can inform our transportation team and they will be able to reschedule you for a pickup CiArra | 072024 12f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 072024 02f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CR | 072024 0265d20c5a0c84458e8ce1adb90d07460f79c1bbb476dd4ac79ae209bc26934fb7Hello We will have the pallets stacked and ready for pickup first thing Monday morning They will be located by the dumpsters in the back of the property not far from the small pavilion and the outdoor playground area The CAFB truck does not need to leave the pavement Let us know which day you will pick up Thank you | 072024 1238c8249284fe40dc890161d65a68f6d3Good morning and thank you for your patience Transportation would like to send drivers to come pick up the remaining pallets on Monday Would that be alright with you all or does another day work better CiArra | 072024 1265d20c5a0c84458e8ce1adb90d07460f | 072024 1124Good morning We have a driver who is on their way to retrieve the pallets at your site Thank you | 072024 0365d20c5a0c84458e8ce1adb90d07460f | 072024 03f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Delivery / Pickup -> Pallet Pickup | Customer requests pickup of 10 pallets at a specific location.,5,0.8022512959247675,Pallet Pickup
Hi I did not see on the home page about Juneteenth but I am assuming that is why the order is closed now Can we make an adjustment Can you remove the 825043 Mangos CASE 10lbs 110 lbs Case We realized late that we put a pallet in as well Thanks Chris,Customer wants to make an adjustment to their order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,062024 11f58131cbb67d43c7b30d6b58d40bd077Hi Chris Rief We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 062024 12b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support We have removed the 20 cases of mangos from your order Charity | 062024 1265d20c5a0c84458e8ce1adb90d07460fb7cda0d683cd4223975cc98a6f168476Thank you,Orders - Pre delivery -> Edit Order Items | Customer wants to make an adjustment to their order.,13,1.0,Order Adjustment
Please advise as to the reason there is a balance The grant should have covered all the items purchased Thank you for resolving this,Customer wants to know the reason for a balance remaining on their account after a grant should have covered all purchases.,Partner Knowledge/Training,Billing / Grants -> Grant Support,042024 11f58131cbb67d43c7b30d6b58d40bd077Hi doreenlivinglegendsawardsorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation are Monday through Friday 8 am to 5 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 042024 1252The partner sent this via email without many details A NetSuite search identified SO158855 as the record with an outstanding balance I updated ticket fields with the details The order was placed today There was a grant applied but it did leave a 17227 balance I do not know how to look up which grant was applied and if there are still funds available to cover this balance Brad | 042024 0747Good afternoon I hope this message finds you well I am writing to inform you that you can only apply one grant to a single line item Currently you have a remaining balance of 3017 on your 1H grant which the system is trying to use to cover the cost of your 300015 Macaroni Cheese If you order a line item that costs more than 3017 you will still have a balance However if you would like to use your other grant which has a larger balance and can cover the entire line item cost of 20244 we can arrange that for you so that you wont have any remaining balance to pay for this sales order Please let me know which grant you would like to use and I will put in a ticket with my IT team to make the necessary changes Thank you Daniele | 042024 0765d20c5a0c84458e8ce1adb90d07460f | 042024 0810Yes you would need to order something that amount or less to use that grant and get the item covered or it can still be applied you will just have a balance afterward You may order an item that is 50 and you will owe 20 afterward in this case the difference is larger so I will request that they use your larger grant When this is complete I will let you know | 042024 0951The IT team has made this change If you edit the order it will revert back to the original coverage so please let me know if you plan on editing it | 042024 0165d20c5a0c84458e8ce1adb90d07460f5ebf50a588dc407fbd87560084808b1fI will probably not | 042024 0853Good evening Your grants have been applied to cover the entirety of your order You have no remaining balance due Thank you,Billing / Grants -> Grant Support | Customer wants to know the reason for a balance remaining on their account after a grant should have covered all purchases.,7,1.0,Billing Inquiry
Please cancel Red peppers from my order to be delivered on the 3rd Thanks On Wed Apr 24 2024 at 10 Hi Erin It was pleasure meeting you Sorry about the Emergency but our member is doing well and at home I need your help This morning you have new produce on the menu Would youif you can add 1 pallet of 825061Cabbage and 1 pallet of 82505Bok Choy to the above Order SO 156427 Thanks for all you do Doreen A K Hines Executive Director 2408321039 The Living Legends Awards for Service to Humanity,Customer wants to cancel red peppers from their order and add 1 pallet of cabbage and 1 pallet of bok choy to their order.,Partner Knowledge/Training,Orders - Pre delivery -> Edit Order Items,052024 07f58131cbb67d43c7b30d6b58d40bd077Hi doreenlivinglegendsawardsorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation are Monday through Friday 8 am to 5 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 052024 10b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support Please provide me with the Sales Order number and the Item Number that you would like removed Charity | 052024 04f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you CH | 052024 0465d20c5a0c84458e8ce1adb90d07460f5ebf50a588dc407fbd87560084808b1fSO158855 Please remove item number 825065 from the above SO | 052024 01b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon We have made your requested edits to your order Charity,Orders - Pre delivery -> Edit Order Items | Customer wants to cancel red peppers from their order and add 1 pallet of cabbage and 1 pallet of bok choy to their order.,4,0.473986391344066,Cancel Items from Order
Perina Gaines from Black Nurses Rock attended SMART shopper training in Oct but never received her login She should be linked to the 2052PART05 Washington Vikew Apartments account,Customer wants to link a customer to their account.,Partner Knowledge/Training,PartnerLink -> New Shopper,112024 1205She attended the training on November 7th along with her colleague Raisa Johnson | 112024 12b15fa988bc6049b4aa6fe30b7a3629c1Hi Lauren While we do not have an attendance record for Perina Gaines in our SMART Shopper trainings I did facilitate the session that Raisa attended There have been instances however where additional shoppers are viewing the training along with the registered participant which I am wondering if this is the case I have gone ahead and granted her access to PL as she is an existing contact for their agency Please note that she will receive an automatic email from Netsuite with the subject line of aAccess to Capital Area Food Banka with instructions for logging in for as a new shopper Hope this helps Charity,PartnerLink -> New Shopper | Customer wants to link a customer to their account.,1,1.0,Account Linking
