Topic,Topic_Label,Topic_Keywords,Doc_1,Doc_2,Doc_3,Doc_4,Doc_5,Doc_6,Doc_7,Doc_8
0,cancelation,"cancelation, delivery cancelation, cancelation customer, cancel, wants cancel, cancel order, pre, orders pre",Orders - Pre delivery -> Cancelation | Customer canceled an order.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order due to a family emergency.,Orders - Pre delivery | Customer wants to cancel an order.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order that was scheduled for delivery on Friday.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order.,Orders - Pre delivery -> Cancelation | Customer wants to cancel a delivery scheduled for today due to the building being closed.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order delivery date due to a mistake.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order.
5,pickup,"pickup, pallet pickup, pickup pallet, pickup customer, pallet, pallets, delivery pickup, pick",Delivery / Pickup -> Pallet Pickup | Customer requests pickup of 10 pallets at a specific location.,Feedback - Concern / Negative -> Transportation | Customer wants to know why their order was delivered early and wants their pallets to be picked up by the end of the week.,"Feedback - Concern / Negative -> Operations | Customer reports an issue with food delivery, specifically that the pallets were stacked on top of each other and heavy, and requests that CAFB be aware of this in the future.",Delivery / Pickup -> General Questions | Customer requests that the pallets of produce are not stacked on top of each other to make it easier to unload the produce.,Delivery / Pickup -> Pallet Pickup | Customer wants to donate food to the food bank.,Delivery / Pickup -> Pallet Pickup | Customer wants to know if the system can pick up pallets from a food bank.,Delivery / Pickup -> Pallet Pickup | Customer wants to know if the system can pick up a large stack of pallets from a food bank.,Delivery / Pickup -> Pallet Pickup | Customer wants to know if someone can pick up empty pallets from a previous delivery.
13,edit,"edit, edit order, delivery edit, items customer, order items, order, items, changes",Orders - Pre delivery -> Edit Order Items | Customer wants to make an adjustment to their order.,Orders - Pre delivery -> Edit Order Items | Customer reports a technical issue with the website and requests help with editing their order.,"Orders - Pre delivery -> Edit Order Items | Customer wants to know if the purchase limit message is due to pound limitation and if not, they have not exceeded their limit.",Orders - Pre delivery -> Edit Order Items | Customer wants help restoring their orders.,Orders - Pre delivery -> Edit Order Items | Customer wants to modify their order and requests blessings for their mission.,Orders - Pre delivery -> Edit Order Items | Customer is inquiring about editing an order on the system.,Orders - Pre delivery -> Edit Order Items | Customer is informed of changes to their upcoming sales order and the reasons for those changes.,Orders - Pre delivery -> Edit Order Items | Customer wants to make changes to an already closed order.
16,reschedule,"reschedule, delivery datatime, datatime, datatime change, change reschedule, reschedule customer, change, change pickup",Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to move an order to pickup.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change the pickup date for their order.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change their pickup time due to potential delay in opening.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to carry over items from previous orders due to parking lot repair.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change the pickup time for their order.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to move their pickup order to a different time.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to move their pickup order.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to move their pickup order.
20,best,"best, expiration, expiration date, product best, menu product, date customer, best expiration, product",Menu -> Discrepancy | Customer is checking the expiration date of a product.,Menu -> Product Best By / Expiration Date | Customer wants to know the expiration dates of donated items in their order.,Menu -> Product Best By / Expiration Date | Customer wants to know if the turkey gravy and cranberry sauce are overdue.,Menu -> Product Best By / Expiration Date | Customer reports expired items in their order and asks if they can be checked before shipping.,"Menu -> Product Best By / Expiration Date | Customer wants information on item 100751, including the best buy date and picture.",Menu -> Product Best By / Expiration Date | Customer wants to know the best by date of item 100753 and if it comes in cans or small plastic containers.,Menu -> General Questions | Customer wants to know the best buy date of certain items.,Menu -> Product Best By / Expiration Date | Customer requests best by dates for various items.
18,reschedule,"reschedule, weather, change reschedule, delivery datatime, datatime change, datatime, reschedule customer, wants reschedule",Orders - Pre delivery -> Data/Time Change - Reschedule | Customer requests rescheduling of delivery for ACTS Hunger Prevention Center due to inclement weather.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to know the process for rescheduling a delivery due to a potential winter storm.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to reschedule their delivery for a later date due to inclement weather.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to reschedule their delivery due to inclement weather.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to reschedule their order delivery due to weather conditions.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to reschedule their order due to inclement weather.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to reschedule delivery due to weather forecast.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to reschedule their order due to inclement weather.
2,missing,"missing, delivery pickup, missing item, pickup missing, pickup, item, redeliver, item redeliver",Delivery / Pickup -> Return - Quality | Customer did not receive the white potatoes and cantaloupes that were added to their order.,Delivery / Pickup | Customer reports a delivery was returned rejected.,Delivery / Pickup -> Missing Item - Redeliver | Customer wants to address an issue with extra items delivered in their order.,Delivery / Pickup -> Missing Item - Redeliver | Customer wants to exchange the wrong item they received in their order.,Delivery / Pickup -> Return - Quality | Customer wants to provide feedback on the products received from the Produce Hub and mentions that they discarded a couple of boxes of cantaloupes and some potatoes from the previous delivery.,Delivery / Pickup -> General Questions | Customer wants to adjust their invoice for missing corn flakes.,Delivery / Pickup -> Report Issue | Customer wants to know if they can get a refund for expired tortillas.,Delivery / Pickup -> Report Issue | Customer requests a refund for a portion of their order due to moldy tuna.
12,vegetables,"vegetables, request customer, produce request, delivery produce, request, fruits, produce, fruits vegetables",Orders - Pre delivery -> Produce Request | Customer wants to add available vegetables to their order for approximately 320 families.,Orders - Pre delivery -> Produce Request | Customer wants to add vegetables to their delivery.,"Orders - Pre delivery -> Produce Request | Customer wants to add potatoes, onions, or other vegetables to their order.",Orders - Pre delivery -> Produce Request | Customer wants to add a pallet of mixed fruit and a case of apples to their order.,Orders - Pre delivery -> Report Issue | Customer is having trouble purchasing fruits and vegetables and wants to know when they will become available.,Orders - Pre delivery -> Produce Request | Customer wants to know if there are any vegetables and fruits available for their order.,Orders - Pre delivery -> Produce Request | Customer wants to add fresh fruits and vegetables to their upcoming order.,Orders - Pre delivery -> Produce Request | Customer wants to add fresh fruits and vegetables to their order and delivery is scheduled for this coming Friday.
3,menu,"menu, menu general, availability, inventory availability, menu inventory, availability customer, inventory, wants know",Menu -> Inventory Availability | Customer is inquiring about the availability of spaghetti noodles.,Menu -> General Questions | Customer wants to know what RTE stands for and if the Vegetarian chili is shelf stable.,Menu -> General Questions | Customer wants to know what items are on a specific pallet.,Menu -> General Questions | Customer is trying to order an item but is receiving an error message.,Menu -> Inventory Availability | Customer wants to know when certain food items will be available again.,Menu -> General Questions | Customer wants to purchase more than the allowed quantity of pork loins.,Menu -> Inventory Availability | Customer wants to know if more white rice is available from CAFB or other grains for upcoming orders.,Menu -> General Questions | Customer wants to know if an item is dry or liquid.
11,reschedule,"reschedule, change, change reschedule, reschedule customer, delivery datatime, datatime change, datatime, delivery date",Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to reschedule orders for today.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to postpone delivery due to staffing change.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change the delivery date of their order.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change their delivery date to February 10th.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants confirmation of delivery time for their order.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change the delivery date due to a scheduling conflict.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to cancel their delivery and reschedule for Tuesday.,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to change the delivery date for their order.
19,cancel order,"cancel order, wants cancel, cancel, cancelation customer, cancelation, delivery cancelation, pre delivery, orders pre",Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO194490,Orders - Pre delivery -> Cancelation | Customer wants to cancel order S0195919.,Orders - Pre delivery -> Cancelation | Customer wants to cancel an order with the order number S0185578.,Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO172801,Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO177320.,Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO173678.,Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO190358,Orders - Pre delivery -> Cancelation | Customer wants to cancel order SO182896.
15,remove,"remove, wants remove, items, items customer, delivery edit, order items, edit order, order",Orders - Pre delivery -> Edit Order Items | Customer wants to cancel an order of pull pork.,Orders - Pre delivery -> Edit Order Items | Customer requests to remove an item from their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to remove items from their order.,Partner Produce Limit -> Question or Concern | Customer is requesting that an item be removed from their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to remove all produce from an order.,Orders - Pre delivery -> Edit Order Items | Customer wants help removing items from their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to remove an item from their order.,Orders - Pre delivery -> Edit Order Items | Customer wants to remove certain items from their order.
22,food,"food, delivery general, general, questions, questions customer, general questions, know food, guidelines",Orders - Pre delivery -> General Questions | Customer wants to place orders for TEFAP food and regular food distribution on the same day.,PartnerLink -> General Questions | Customer wants to know if the food bank will be closed on July 4th and 5th due to summer shutdowns.,Feedback - Concern / Negative -> Other / General | Customer reports issue with food delivery from Gaithersburg HELP and requests review of their eligibility for service.,Orders - Pre delivery -> General Questions | Customer wants to know if you have any materials to provide to people who are turned away from their food pantry.,Orders - Pre delivery -> General Questions | Customer wants more food assistance cards.,Orders - Pre delivery -> General Questions | Customer wants to connect Elizabeth and Rev Diana with the Food Coding Guidelines.,Orders - Pre delivery -> General Questions | Customer wants to know when their food boxes will be delivered and needs assistance with planning manpower.,Orders - Pre delivery -> Cancelation | Customer wants assistance with a food order and has questions about new income guidelines.
17,delivery general,"delivery general, questions, general questions, general, questions customer, orders, pre, pre delivery",Orders - Pre delivery -> General Questions | Partner Support notifies the customer of changes to their order and provides reasons for the changes.,Orders - Pre delivery -> General Questions | Customer wants assistance with a fee that was applied to their order.,Orders - Pre delivery -> General Questions | Customer needs help logging into the system with their email.,Orders - Pre delivery -> General Questions | Customer wants to edit an existing order and has issues with the website.,Orders - Pre delivery -> General Questions | Customer wants to change the delivery information for a specific order.,Orders - Pre delivery -> General Questions | Customer questions a delivery fee for a TEFAP order.,Orders - Pre delivery -> General Questions | Customer wants to know the best buy dates for three items and the number of dozen per case.,Orders - Pre delivery -> General Questions | Customer is inquiring about the availability of certain items and wants to plan ahead for upcoming deliveries.
